timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776281891241,19,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,17,0,14
1776281891260,40,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,53186,0,1,1,http://localhost:8000/fhir/Observation,38,0,35
1776281891301,1,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,-1,0,-4
1776281891302,7,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,5,0,2
1776281891305,5,/auth/token,200,OK,Clinician Users 1-2,text,true,,233,0,2,2,http://localhost:8000/auth/token,3,0,0
1776281891310,1,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,2,2,http://localhost:8000/auth/token,-1,0,-4
1776281891311,8,/fhir/Observation,200,OK,Clinician Users 1-2,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,6,0,3
1776281891319,1,/auth/token,200,OK,Clinician Users 1-2,text,true,,233,0,2,2,http://localhost:8000/auth/token,-1,0,-4
1776281891321,7,/fhir/Observation,200,OK,Clinician Users 1-2,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,5,0,2
1776281891311,21,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,19,0,16
1776281891328,4,/auth/token,200,OK,Clinician Users 1-2,text,true,,233,0,2,2,http://localhost:8000/auth/token,2,0,-1
1776281891333,2,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,2,2,http://localhost:8000/auth/token,0,0,-3
1776281891333,7,/fhir/Observation,200,OK,Clinician Users 1-2,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,5,0,2
1776281891335,21,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,19,0,16
1776281891340,16,/auth/token,200,OK,Clinician Users 1-2,text,true,,233,0,2,2,http://localhost:8000/auth/token,14,0,11
1776281891356,1,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,2,2,http://localhost:8000/auth/token,-1,0,-4
1776281891356,9,/fhir/Observation,200,OK,Clinician Users 1-2,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,7,0,4
1776281891358,11,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,53186,0,2,2,http://localhost:8000/fhir/Observation,9,0,6
1776281891365,4,/auth/token,200,OK,Clinician Users 1-2,text,true,,233,0,3,3,http://localhost:8000/auth/token,2,0,-1
1776281891369,2,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,3,3,http://localhost:8000/auth/token,0,0,-3
